incident_year,recovery_status,provoked_unprovoked,victim_activity
1984.0,uninjured,provoked,diving
1984.0,injured,unprovoked,other: standing in water
1984.0,uninjured,unprovoked,boarding
1984.0,uninjured,provoked,diving
1984.0,fatal,unprovoked,swimming
1985.0,uninjured,unprovoked,boarding
1985.0,injured,provoked,diving
1985.0,fatal,unprovoked,snorkelling
1985.0,injured,provoked,diving
1985.0,injured,provoked,diving
1986.0,fatal,provoked,spearfishing
1986.0,injured,provoked,swimming
1986.0,injured,unprovoked,diving
1986.0,injured,unprovoked,diving
1986.0,uninjured,unprovoked,boarding
1987.0,injured,unprovoked,swimming
1987.0,injured,provoked,diving
1987.0,injured,provoked,diving
1987.0,fatal,unprovoked,boarding
1987.0,injured,unprovoked,boarding
1987.0,injured,unprovoked,swimming
1987.0,fatal,unprovoked,diving
1987.0,injured,unprovoked,swimming
1987.0,uninjured,provoked,diving
1988.0,injured,unprovoked,swimming
1988.0,injured,unprovoked,boarding
1988.0,uninjured,provoked,spearfishing
1988.0,injured,unprovoked,boarding
1988.0,fatal,unprovoked,swimming
1988.0,fatal,unprovoked,swimming
1989.0,injured,provoked,diving
1989.0,uninjured,unprovoked,boarding
1989.0,injured,unprovoked,snorkelling
1989.0,injured,unprovoked,boarding
1989.0,uninjured,provoked,snorkelling
1989.0,injured,provoked,spearfishing
1989.0,fatal,unprovoked,boarding
1989.0,uninjured,unprovoked,boarding
1989.0,uninjured,unprovoked,boarding
1989.0,injured,unprovoked,swimming
1989.0,injured,unprovoked,boarding
1989.0,injured,unprovoked,swimming
1989.0,injured,unprovoked,diving
1989.0,injured,provoked,swimming
1990.0,uninjured,unprovoked,boarding
1990.0,uninjured,unprovoked,boarding
1990.0,fatal,provoked,snorkelling
1990.0,injured,provoked,snorkelling
1990.0,injured,provoked,snorkelling
1990.0,injured,unprovoked,other: standing in water
1990.0,injured,unprovoked,swimming
1990.0,injured,unprovoked,boarding
1990.0,injured,unprovoked,swimming
1991.0,injured,unprovoked,boarding
1991.0,uninjured,provoked,spearfishing
1991.0,uninjured,unprovoked,snorkelling
1991.0,injured,unprovoked,swimming
1991.0,injured,provoked,diving
1991.0,fatal,unprovoked,diving
1991.0,injured,unprovoked,boarding
1992.0,injured,unprovoked,boarding
1992.0,uninjured,unprovoked,boarding
1992.0,uninjured,provoked,
1992.0,injured,unprovoked,boarding
1992.0,injured,unprovoked,boarding
1992.0,fatal,unprovoked,boarding
1993.0,injured,provoked,spearfishing
1993.0,uninjured,provoked,spearfishing
1993.0,injured,provoked,spearfishing
1993.0,fatal,unprovoked,diving
1993.0,fatal,unprovoked,diving
1993.0,fatal,provoked,diving
1993.0,uninjured,unprovoked,boarding
1994.0,injured,unprovoked,swimming
1994.0,injured,unprovoked,swimming
1994.0,injured,provoked,fishing
1994.0,injured,unprovoked,swimming
1994.0,injured,provoked,diving
1995.0,uninjured,provoked,diving
1995.0,injured,unprovoked,boarding
1995.0,injured,unprovoked,boarding
1995.0,uninjured,unprovoked,boarding
1995.0,injured,unprovoked,diving
1995.0,uninjured,unprovoked,diving
1995.0,fatal,unprovoked,diving
1995.0,injured,unprovoked,other: standing in water
1995.0,injured,provoked,
1995.0,injured,unprovoked,swimming
1995.0,injured,unprovoked,swimming
1996.0,injured,unprovoked,other: standing in water
1996.0,injured,provoked,spearfishing
1996.0,injured,unprovoked,swimming
1996.0,injured,provoked,other: standing in water
1996.0,injured,unprovoked,swimming
1996.0,injured,unprovoked,swimming
1996.0,injured,unprovoked,swimming
1996.0,uninjured,unprovoked,boarding
1996.0,injured,unprovoked,other: standing in water
1996.0,injured,unprovoked,boarding
1996.0,injured,unprovoked,boarding
1997.0,injured,unprovoked,snorkelling
1997.0,injured,unprovoked,boarding
1997.0,uninjured,unprovoked,unmotorised boating
1997.0,injured,unprovoked,diving
1997.0,injured,unprovoked,swimming
1997.0,uninjured,unprovoked,unmotorised boating
1997.0,injured,unprovoked,boarding
1997.0,injured,unprovoked,boarding
1997.0,uninjured,unprovoked,boarding
1997.0,injured,unprovoked,diving
1997.0,injured,unprovoked,other: standing in water
1997.0,injured,unprovoked,swimming
1997.0,injured,unprovoked,swimming
1998.0,injured,provoked,diving
1998.0,uninjured,unprovoked,snorkelling
1998.0,injured,unprovoked,boarding
1998.0,fatal,unprovoked,snorkelling
1998.0,injured,unprovoked,diving
1998.0,injured,provoked,diving
1998.0,injured,unprovoked,boarding
1998.0,injured,provoked,spearfishing
1999.0,injured,unprovoked,boarding
1999.0,fatal,unprovoked,boarding
1999.0,injured,provoked,diving
1999.0,uninjured,unprovoked,diving
1999.0,uninjured,provoked,diving
2000.0,uninjured,unprovoked,boarding
2000.0,injured,unprovoked,boarding
2000.0,injured,unprovoked,swimming
2000.0,injured,unprovoked,swimming
2000.0,injured,unprovoked,boarding
2000.0,uninjured,unprovoked,boarding
2000.0,injured,unprovoked,swimming
2000.0,uninjured,unprovoked,unmotorised boating
2000.0,uninjured,unprovoked,boarding
2000.0,injured,provoked,other: standing in water
2000.0,fatal,unprovoked,boarding
2000.0,fatal,unprovoked,boarding
2000.0,uninjured,provoked,diving
2000.0,injured,unprovoked,swimming
2000.0,uninjured,unprovoked,swimming
2000.0,uninjured,provoked,diving
2000.0,fatal,unprovoked,swimming
2000.0,injured,provoked,spearfishing
2000.0,injured,unprovoked,diving
2001.0,uninjured,unprovoked,boarding
2001.0,uninjured,unprovoked,unmotorised boating
2001.0,injured,unprovoked,boarding
2001.0,injured,unprovoked,snorkelling
2001.0,injured,unprovoked,boarding
2001.0,injured,provoked,snorkelling
2001.0,injured,unprovoked,boarding
2001.0,uninjured,unprovoked,unmotorised boating
2001.0,injured,provoked,snorkelling
2001.0,injured,unprovoked,boarding
2001.0,injured,unprovoked,swimming
2001.0,uninjured,unprovoked,boarding
2001.0,uninjured,provoked,spearfishing
2002.0,injured,unprovoked,swimming
2002.0,injured,unprovoked,boarding
2002.0,injured,unprovoked,boarding
2002.0,uninjured,unprovoked,unmotorised boating
2002.0,uninjured,provoked,spearfishing
2002.0,fatal,provoked,diving
2002.0,injured,unprovoked,swimming
2002.0,uninjured,unprovoked,boarding
2002.0,injured,provoked,snorkelling
2002.0,injured,unprovoked,diving
2002.0,fatal,unprovoked,swimming
2003.0,injured,unprovoked,swimming
2003.0,uninjured,unprovoked,boarding
2003.0,injured,unprovoked,other: standing in water
2003.0,fatal,unprovoked,swimming
2003.0,injured,unprovoked,boarding
2003.0,injured,provoked,diving
2003.0,uninjured,unprovoked,unmotorised boating
2003.0,injured,unprovoked,boarding
2003.0,injured,unprovoked,boarding
2003.0,injured,provoked,swimming
2003.0,injured,provoked,swimming
2003.0,injured,provoked,spearfishing
2003.0,uninjured,unprovoked,swimming
2004.0,injured,unprovoked,swimming
2004.0,uninjured,unprovoked,diving
2004.0,injured,unprovoked,swimming
2004.0,injured,unprovoked,swimming
2004.0,injured,provoked,spearfishing
2004.0,uninjured,provoked,diving
2004.0,injured,provoked,spearfishing
2004.0,injured,unprovoked,snorkelling
2004.0,injured,unprovoked,snorkelling
2004.0,injured,provoked,spearfishing
2004.0,injured,unprovoked,diving
2004.0,injured,unprovoked,snorkelling
2004.0,uninjured,provoked,diving
2004.0,injured,unprovoked,boarding
2004.0,injured,unprovoked,diving
2004.0,fatal,unprovoked,boarding
2004.0,injured,provoked,spearfishing
2004.0,uninjured,unprovoked,boarding
2004.0,uninjured,provoked,snorkelling
2004.0,injured,unprovoked,boarding
2004.0,injured,unprovoked,boarding
2004.0,fatal,provoked,spearfishing
2004.0,fatal,unprovoked,boarding
2005.0,uninjured,provoked,spearfishing
2005.0,injured,unprovoked,swimming
2005.0,uninjured,unprovoked,boarding
2005.0,fatal,unprovoked,snorkelling
2005.0,injured,provoked,spearfishing
2005.0,uninjured,unprovoked,boarding
2005.0,injured,provoked,spearfishing
2005.0,fatal,unprovoked,diving
2005.0,uninjured,unprovoked,boarding
2005.0,injured,unprovoked,boarding
2005.0,uninjured,unprovoked,boarding
2005.0,injured,unprovoked,boarding
2005.0,injured,unprovoked,boarding
2005.0,injured,unprovoked,boarding
2005.0,uninjured,unprovoked,diving
2005.0,injured,provoked,spearfishing
2006.0,fatal,unprovoked,swimming
2006.0,injured,provoked,spearfishing
2006.0,injured,unprovoked,other: standing in water
2006.0,uninjured,unprovoked,boarding
2006.0,injured,unprovoked,boarding
2006.0,injured,provoked,diving
2006.0,uninjured,provoked,spearfishing
2006.0,injured,unprovoked,boarding
2006.0,uninjured,provoked,spearfishing
2006.0,injured,unprovoked,boarding
2007.0,uninjured,unprovoked,boarding
2007.0,injured,provoked,diving
2007.0,injured,unprovoked,boarding
2007.0,injured,unprovoked,boarding
2007.0,injured,unprovoked,swimming
2007.0,injured,unprovoked,swimming
2007.0,injured,provoked,swimming
2007.0,injured,unprovoked,boarding
2007.0,injured,unprovoked,diving
2007.0,uninjured,unprovoked,boarding
2007.0,injured,provoked,swimming
2007.0,injured,provoked,spearfishing
2007.0,injured,unprovoked,boarding
2007.0,uninjured,unprovoked,boarding
2007.0,injured,unprovoked,surfing
2007.0,injured,unprovoked,swimming
2007.0,injured,unprovoked,boarding
2008.0,uninjured,unprovoked,unmotorised boating
2008.0,injured,unprovoked,diving
2008.0,injured,unprovoked,swimming
2008.0,injured,unprovoked,swimming
2008.0,injured,unprovoked,other: standing in water
2008.0,fatal,unprovoked,boarding
2008.0,injured,provoked,swimming
2008.0,injured,unprovoked,swimming
2008.0,uninjured,unprovoked,boarding
2008.0,uninjured,unprovoked,boarding
2008.0,uninjured,unprovoked,boarding
2008.0,uninjured,unprovoked,boarding
2008.0,fatal,provoked,snorkelling
2008.0,uninjured,provoked,unmotorised boating
2009.0,injured,provoked,spearfishing
2009.0,injured,provoked,diving
2009.0,injured,unprovoked,boarding
2009.0,injured,unprovoked,boarding
2009.0,injured,unprovoked,swimming
2009.0,uninjured,unprovoked,boarding
2009.0,injured,unprovoked,diving
2009.0,uninjured,unprovoked,boarding
2009.0,injured,unprovoked,boarding
2009.0,uninjured,unprovoked,boarding
2009.0,injured,unprovoked,boarding
2009.0,uninjured,unprovoked,boarding
2009.0,injured,unprovoked,diving
2009.0,injured,unprovoked,boarding
2009.0,injured,provoked,swimming
2009.0,uninjured,unprovoked,boarding
2009.0,injured,unprovoked,boarding
2009.0,injured,unprovoked,boarding
2009.0,uninjured,provoked,spearfishing
2009.0,injured,unprovoked,boarding
2009.0,uninjured,unprovoked,unmotorised boating
2009.0,uninjured,unprovoked,boarding
2009.0,injured,provoked,spearfishing
2009.0,injured,provoked,spearfishing
2009.0,injured,provoked,other: standing in water
2009.0,injured,unprovoked,unmotorised boating
2009.0,injured,unprovoked,boarding
2009.0,uninjured,unprovoked,boarding
2010.0,uninjured,unprovoked,boarding
2010.0,injured,unprovoked,boarding
2010.0,injured,unprovoked,snorkelling
2010.0,uninjured,unprovoked,boarding
2010.0,injured,unprovoked,snorkelling
2010.0,injured,unprovoked,other: standing in water
2010.0,injured,unprovoked,boarding
2010.0,injured,unprovoked,boarding
2010.0,injured,unprovoked,boarding
2010.0,fatal,unprovoked,boarding
2010.0,injured,unprovoked,boarding
2010.0,injured,unprovoked,boarding
2010.0,injured,unprovoked,boarding
2010.0,injured,unprovoked,snorkelling
2011.0,fatal,provoked,diving
2011.0,injured,unprovoked,snorkelling
2011.0,injured,unprovoked,boarding
2011.0,injured,unprovoked,boarding
2011.0,injured,provoked,fishing
2011.0,injured,provoked,diving
2011.0,fatal,unprovoked,swimming
2011.0,fatal,unprovoked,boarding
2011.0,fatal,unprovoked,diving
2011.0,uninjured,provoked,diving
2011.0,fatal,unprovoked,swimming
2011.0,injured,provoked,swimming
2011.0,injured,unprovoked,boarding
2011.0,injured,provoked,boarding
2011.0,injured,unprovoked,boarding
2012.0,injured,unprovoked,boarding
2012.0,uninjured,provoked,spearfishing
2012.0,injured,unprovoked,boarding
2012.0,injured,unprovoked,snorkelling
2012.0,uninjured,unprovoked,boarding
2012.0,injured,provoked,fishing
2012.0,uninjured,unprovoked,boarding
2012.0,injured,provoked,boarding
2012.0,uninjured,unprovoked,unmotorised boating
2012.0,fatal,unprovoked,diving
2012.0,injured,unprovoked,unmotorised boating
2012.0,injured,provoked,diving
2012.0,uninjured,unprovoked,unmotorised boating
2012.0,injured,unprovoked,boarding
2012.0,injured,unprovoked,boarding
2012.0,uninjured,unprovoked,unmotorised boating
2012.0,injured,unprovoked,boarding
2012.0,fatal,unprovoked,boarding
2012.0,injured,unprovoked,boarding
2012.0,uninjured,unprovoked,boarding
2012.0,injured,unprovoked,boarding
2012.0,injured,provoked,spearfishing
2012.0,uninjured,unprovoked,boarding
2013.0,injured,provoked,spearfishing
2013.0,injured,unprovoked,boarding
2013.0,injured,provoked,spearfishing
2013.0,injured,provoked,swimming
2013.0,uninjured,unprovoked,boarding
2013.0,injured,provoked,swimming
2013.0,uninjured,unprovoked,boarding
2013.0,injured,unprovoked,swimming
2013.0,injured,provoked,boarding
2013.0,injured,unprovoked,snorkelling
2013.0,injured,provoked,diving
2013.0,fatal,unprovoked,boarding
2013.0,fatal,unprovoked,boarding
2013.0,injured,unprovoked,diving
2013.0,injured,unprovoked,boarding
2014.0,fatal,provoked,spearfishing
2014.0,uninjured,provoked,spearfishing
2014.0,uninjured,unprovoked,boarding
2014.0,injured,provoked,swimming
2014.0,fatal,unprovoked,swimming
2014.0,injured,provoked,spearfishing
2014.0,uninjured,unprovoked,boarding
2014.0,injured,unprovoked,swimming
2014.0,injured,unprovoked,boarding
2014.0,injured,provoked,boarding
2014.0,injured,unprovoked,boarding
2014.0,Injured,unprovoked,boarding
2014.0,injured,provoked,spearfishing
2014.0,fatal,unprovoked,snorkelling
2014.0,injured,unprovoked,swimming
2014.0,injured,provoked,boarding
2014.0,injured,provoked,boarding
2014.0,injured,unprovoked,boarding
2014.0,injured,provoked,swimming
2014.0,injured,provoked,snorkelling
2014.0,injured,unprovoked,swimming
2014.0,injured,unprovoked,boarding
2014.0,injured,unprovoked,boarding
2014.0,fatal,provoked,spearfishing
2014.0,fatal,provoked,spearfishing
2015.0,uninjured,unprovoked,boarding
2015.0,injured,provoked,other: standing in water
2015.0,uninjured,unprovoked,unmotorised boating
2015.0,uninjured,unprovoked,boarding
2015.0,injured,provoked,spearfishing
2015.0,injured,unprovoked,boarding
2015.0,fatal,unprovoked,boarding
2015.0,injured,unprovoked,swimming
2015.0,injured,provoked,swimming
2015.0,injured,provoked,swimming
2015.0,injured,provoked,boarding
2015.0,injured,unprovoked,boarding
2015.0,injured,unprovoked,boarding
2015.0,injured,unprovoked,boarding
2015.0,injured,provoked,swimming
2015.0,uninjured,unprovoked,boarding
2015.0,injured,provoked,spearfishing
2015.0,uninjured,unprovoked,boarding
2015.0,fatal,provoked,diving
2015.0,uninjured,provoked,diving
2015.0,injured,unprovoked,boarding
2015.0,uninjured,unprovoked,boarding
2015.0,injured,unprovoked,boarding
2015.0,injured,unprovoked,boarding
2015.0,injured,unprovoked,boarding
2015.0,injured,unprovoked,boarding
2015.0,uninjured,unprovoked,boarding
2015.0,injured,provoked,boarding
2015.0,injured,unprovoked,boarding
2015.0,injured,unprovoked,snorkelling
2015.0,injured,provoked,spearfishing
2015.0,injured,unprovoked,boarding
2015.0,injured,unprovoked,boarding
2016.0,injured,provoked,boarding
2016.0,injured,unprovoked,swimming
2016.0,injured,provoked,spearfishing
2016.0,uninjured,unprovoked,boarding
2016.0,injured,provoked,spearfishing
2016.0,uninjured,unprovoked,boarding
2016.0,uninjured,unprovoked,boarding
2016.0,injured,provoked,fishing
2016.0,uninjured,unprovoked,boarding
2016.0,injured,unprovoked,boarding
2016.0,injured,provoked,swimming
2016.0,fatal,unprovoked,boarding
2016.0,uninjured,provoked,spearfishing
2016.0,fatal,unprovoked,diving
2016.0,injured,provoked,spearfishing
2016.0,uninjured,unprovoked,boarding
2016.0,uninjured,provoked,spearfishing
2016.0,uninjured,provoked,spearfishing
2016.0,uninjured,unprovoked,boarding
2016.0,uninjured,unprovoked,boarding
2016.0,uninjured,unprovoked,boarding
2016.0,injured,unprovoked,boarding
2016.0,uninjured,unprovoked,boarding
2016.0,injured,unprovoked,boarding
2016.0,injured,unprovoked,boarding
2016.0,injured,unprovoked,boarding
2016.0,injured,provoked,swimming
2016.0,injured,unprovoked,boarding
2016.0,uninjured,provoked,spearfishing
2016.0,injured,unprovoked,snorkelling
2016.0,injured,unprovoked,snorkelling
2017.0,injured,unprovoked,snorkelling
2017.0,injured,provoked,swimming
2017.0,injured,unprovoked,swimming
2017.0,uninjured,provoked,spearfishing
2017.0,uninjured,unprovoked,boarding
2017.0,injured,unprovoked,snorkelling
2017.0,injured,unprovoked,snorkelling
2017.0,injured,unprovoked,boarding
2017.0,uninjured,unprovoked,unmotorised boating
2017.0,injured,provoked,boarding
2017.0,fatal,unprovoked,boarding
2017.0,uninjured,unprovoked,boarding
2017.0,uninjured,unprovoked,boarding
2017.0,injured,unprovoked,boarding
2017.0,injured,unprovoked,boarding
2017.0,uninjured,unprovoked,boarding
2017.0,injured,unprovoked,swimming
2017.0,uninjured,unprovoked,unmotorised boating
2017.0,injured,provoked,boarding
2017.0,injured,unprovoked,boarding
2017.0,uninjured,unprovoked,boarding
2018.0,injured,provoked,swimming
2018.0,injured,unprovoked,snorkelling
2018.0,injured,unprovoked,boarding
2018.0,injured,provoked,snorkelling
2018.0,uninjured,provoked,spearfishing
2018.0,injured,unprovoked,other: standing in water
2018.0,injured,unprovoked,swimming
2018.0,injured,provoked,snorkelling
2018.0,injured,unprovoked,swimming
2018.0,uninjured,provoked,snorkelling
2018.0,injured,unprovoked,boarding
2018.0,injured,unprovoked,boarding
2018.0,injured,unprovoked,boarding
2018.0,uninjured,unprovoked,boarding
2018.0,uninjured,unprovoked,boarding
2018.0,injured,unprovoked,boarding
2018.0,uninjured,unprovoked,boarding
2018.0,injured,unprovoked,swimming
2018.0,injured,unprovoked,swimming
2018.0,injured,unprovoked,
2018.0,injured,provoked,swimming
2018.0,fatal,unprovoked,boarding
2018.0,injured,unprovoked,boarding
2018.0,injured,unprovoked,boarding
2018.0,uninjured,unprovoked,
2018.0,injured,unprovoked,boarding
2018.0,injured,provoked,spearfishing
2018.0,injured,unprovoked,boarding
2018.0,injured,unprovoked,
2018.0,injured,provoked,swimming
2019.0,injured,unprovoked,swimming
2019.0,uninjured,provoked,spearfishing
2019.0,uninjured,unprovoked,boarding
2019.0,injured,provoked,
2019.0,injured,unprovoked,boarding
2019.0,injured,unprovoked,snorkelling
2019.0,injured,provoked,spearfishing
2019.0,injured,unprovoked,swimming
2019.0,uninjured,provoked,diving
2019.0,injured,unprovoked,
2019.0,injured,provoked,snorkelling
2019.0,injured,unprovoked,swimming
2019.0,injured,unprovoked,boarding
2019.0,injured,unprovoked,surfing
2019.0,injured,unprovoked,
2019.0,uninjured,provoked,spearfishing
2019.0,injured,,snorkelling
2019.0,injured,unprovoked,snorkelling
2019.0,uninjured,unprovoked,boarding
2019.0,uninjured,,boarding
2019.0,injured,unprovoked,snorkelling
2019.0,injured,,
2019.0,injured,unprovoked,boarding
2019.0,injured,,swimming
2020.0,fatal,unprovoked,diving
2020.0,uninjured,unprovoked,boarding
2020.0,uninjured,provoked,snorkelling
2020.0,injured,unprovoked,swimming
2020.0,injured,unprovoked,boarding
2020.0,injured,unprovoked,swimming
2020.0,injured,unprovoked,swimming
2020.0,fatal,unprovoked,swimming
2020.0,uninjured,unprovoked,boarding
2020.0,uninjured,unprovoked,boarding
2020.0,injured,unprovoked,boarding
2020.0,fatal,unprovoked,boarding
2020.0,injured,unprovoked,boarding
2020.0,uninjured,unprovoked,boarding
2020.0,uninjured,provoked,spearfishing
2020.0,uninjured,provoked,spearfishing
2020.0,uninjured,provoked,spearfishing
2020.0,injured,unprovoked,
2020.0,injured,unprovoked,swimming
2020.0,fatal,provoked,snorkelling
2020.0,injured,provoked,fishing
2020.0,uninjured,unprovoked,swimming
2020.0,fatal,unprovoked,boarding
2020.0,injured,unprovoked,boarding
2020.0,fatal,unprovoked,
2020.0,uninjured,provoked,boarding
2020.0,uninjured,unprovoked,standing
2020.0,injured,unprovoked,boarding
2020.0,injured,unprovoked,scuba diving
2020.0,uninjured,unprovoked,boarding
2020.0,injured,provoked,spearfishing
2020.0,fatal,unprovoked,boarding
2020.0,fatal,unprovoked,boarding
2020.0,uninjured,provoked,fishing
2020.0,injured,unprovoked,boarding
2020.0,injured,unprovoked,boarding
2020.0,injured,unprovoked,boarding
2021.0,injured,unprovoked,swimming
2021.0,injured,unprovoked,swimming
2021.0,injured,unprovoked,swimming
2021.0,injured,unprovoked,boarding
2021.0,uninjured,unprovoked,boarding
2021.0,uninjured,provoked,spearfishing
2021.0,injured,unprovoked,swimming
2021.0,injured,provoked,spearfishing
2021.0,uninjured,unprovoked,boarding
2021.0,injured,unprovoked,swimming
2021.0,injured,provoked,spearfishing
2021.0,fatal,unprovoked,boarding
2021.0,injured,unprovoked,snorkelling
2021.0,injured,provoked,spearfishing
2021.0,injured,unprovoked,boarding
2021.0,injured,provoked,motorised boating
2021.0,fatal,unprovoked,boarding
2021.0,injured,unprovoked,boarding
2021.0,injured,unprovoked,swimming
2021.0,injured,unprovoked,boarding
2021.0,fatal,unprovoked,swimming
2021.0,injured,unprovoked,
2021.0,injured,unprovoked,boarding
2021.0,injured,provoked,spearfishing
2022.0,injured,unprovoked,swimming
2022.0,injured,unprovoked,swimming
2022.0,injured,unprovoked,snorkelling
2022.0,fatal,unprovoked,swimming
2022.0,injured,unprovoked,other:floating
2022.0,injured,unprovoked,other:floating
2022.0,injured,unprovoked,scuba diving
2022.0,injured,unprovoked,wading
2022.0,uninjured,unprovoked,surfing
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
